restaurant_id,city,cuisine,price_tier_2019,price_2019,price_2024,inflation_rate,years_open_pre_2019,review_trajectory,rent_index,closed,time_to_event_months
R01430,Chicago,Thai,$$$,19.08,25.42,0.3321,0.5,1.453,1.14,0,72
R01431,LA,Vietnamese,$,11.12,15.14,0.3608,0.8,-0.569,1.167,1,16
R01432,NYC,Indian,$$$,19.27,25.19,0.3069,5.2,-0.212,1.391,0,72
R01433,NYC,Mexican,$,10.95,13.66,0.2471,6.3,-1.782,1.269,0,72
R01434,NYC,Mexican,$$,12.54,17.32,0.3805,12.3,0.762,1.359,0,72
R01435,Chicago,Japanese,$$$$,25.43,29.19,0.1481,11.7,-0.028,1.042,0,72
R01436,NYC,Mexican,$$,14.08,18.89,0.3418,0.9,-1.552,1.315,0,72
R01437,LA,Italian,$$$,21.94,26.86,0.2242,2.9,0.205,1.246,0,72
R01438,Chicago,Chinese,$,11.91,14.28,0.1991,0.5,-1.389,1.193,0,72
R01439,Chicago,FastFood,$,8.63,11.47,0.3286,1.3,0.557,0.948,0,72
R01440,NYC,Mediterranean,$$$,21.28,29.75,0.3977,3.5,-1.083,1.238,1,18
R01441,NYC,Thai,$$,12.33,15.96,0.2944,3.5,0.337,1.38,0,72
R01442,NYC,Indian,$$,16.07,21.51,0.3383,2.4,-0.653,1.222,1,26
R01443,NYC,Chinese,$$,12.5,17.97,0.4378,3.7,-2.366,1.702,1,10
R01444,NYC,Mexican,$$,12.97,17.94,0.3831,3.8,0.996,1.465,0,72
R01445,LA,Vietnamese,$,11.68,14.92,0.2778,3.5,1.051,1.1,0,72
R01446,Chicago,Vietnamese,$,9.98,12.89,0.2919,14.6,-0.522,0.935,0,72
R01447,LA,Italian,$$,17.17,21.54,0.254,1.4,0.274,1.041,0,72
R01448,LA,Japanese,$$$,22.58,29.85,0.3217,3.7,0.438,1.355,0,72
R01449,NYC,Japanese,$$$,21.6,28.74,0.3307,4.2,0.47,1.808,0,72
R01450,Chicago,Chinese,$$,17.25,19.52,0.1315,4.5,1.726,0.836,0,72
R01451,LA,Italian,$$$,21.59,25.63,0.1872,0.5,0.417,1.36,0,72
R01452,Chicago,Japanese,$$$,23.18,28.2,0.2165,17.1,-0.358,0.971,0,72
R01453,Chicago,American,$$,13.95,16.45,0.1792,11.9,0.428,1.164,0,72
R01454,NYC,FastFood,$,7.33,8.61,0.175,3.1,-0.43,1.164,1,19
R01455,NYC,American,$$$,22.83,28.39,0.2437,1.6,-1.066,1.49,0,72
R01456,NYC,Indian,$$,12.09,15.71,0.2998,5.8,1.22,1.381,0,72
R01457,NYC,Thai,$$,14.29,18.34,0.2837,10.9,0.534,1.569,1,31
R01458,Chicago,Mexican,$$,13.34,16.54,0.2402,24.2,-1.862,1.007,0,72
R01459,NYC,Vietnamese,$,10.87,14.48,0.3321,0.5,-0.684,1.454,0,72
R01460,LA,Japanese,$$$,18.37,23.28,0.2672,0.9,0.758,1.185,0,72
R01461,LA,American,$$,13.89,17.18,0.2366,11.4,-1.564,1.447,0,72
R01462,NYC,Mexican,$,11.33,15.96,0.4086,10.4,-0.753,1.42,1,32
R01463,NYC,Mediterranean,$$,14.96,19.34,0.2929,0.7,2.662,1.608,0,72
R01464,LA,FastFood,$,10.79,13.99,0.2964,20.4,-0.331,1.294,0,72
R01465,LA,Mexican,$$,12.48,15.77,0.2638,25.4,1.083,1.335,0,72
R01466,NYC,Chinese,$,11.83,15.49,0.3094,14.3,1.5,1.284,0,72
R01467,NYC,Chinese,$$,13.25,18.23,0.3757,5.0,-0.908,1.578,0,72
R01468,LA,Thai,$$,15.79,19.72,0.2488,4.7,0.266,1.25,0,72
R01469,NYC,American,$$,15.04,19.7,0.3098,0.5,2.059,1.257,0,72
R01470,Chicago,Chinese,$$,15.29,19.49,0.2747,13.3,0.46,0.975,0,72
R01471,NYC,Thai,$,11.14,15.7,0.4097,11.3,2.366,1.91,0,72
R01472,NYC,Italian,$$$,22.22,28.21,0.2695,2.3,-0.637,1.383,0,72
R01473,LA,Japanese,$$$,21.96,26.69,0.2151,15.9,1.797,1.148,0,72
R01474,LA,Italian,$$,17.85,22.61,0.2668,1.5,0.017,1.267,0,72
R01475,LA,American,$$,14.12,18.34,0.2985,1.3,-0.327,1.125,0,72
R01476,NYC,Japanese,$$,17.64,22.05,0.2501,9.7,0.64,1.475,0,72
R01477,Chicago,Italian,$$,13.33,15.23,0.1418,6.9,-0.111,0.948,0,72
R01478,LA,Japanese,$$$,19.18,24.49,0.2768,2.6,-0.085,1.259,1,31
R01479,LA,Mediterranean,$$$,18.9,24.06,0.2732,13.0,0.485,1.191,0,72
R01480,NYC,American,$$,13.46,16.21,0.2042,10.4,-1.808,1.833,0,72
R01481,NYC,FastFood,$,6.43,8.83,0.3727,1.7,-0.799,1.458,0,72
R01482,LA,American,$$,13.58,16.68,0.2282,10.7,0.723,1.168,0,72
R01483,NYC,Indian,$$,13.53,16.56,0.2242,5.9,0.992,1.641,0,72
R01484,LA,Italian,$$,16.91,20.51,0.2124,3.5,0.357,1.016,1,49
R01485,NYC,Thai,$$,13.68,18.8,0.3741,9.7,0.276,1.776,0,72
R01486,Chicago,Chinese,$$,15.66,20.83,0.3304,0.5,0.402,0.888,0,72
R01487,LA,Mexican,$$,15.65,21.4,0.3673,1.3,0.958,1.385,0,72
R01488,Chicago,Chinese,$$$,18.65,23.94,0.2835,4.8,-1.426,1.191,0,72
R01489,LA,Mexican,$,9.33,12.59,0.3498,4.8,-0.509,1.127,1,23
R01490,NYC,FastFood,$,7.29,9.95,0.3649,4.9,-0.074,1.377,1,39
R01491,Chicago,FastFood,$,9.64,12.09,0.2547,2.5,0.196,0.987,0,72
R01492,LA,Indian,$$,13.36,16.5,0.2347,4.2,-2.11,1.293,0,72
R01493,LA,Mexican,$$,14.59,18.82,0.2896,13.5,-1.257,1.065,0,72
R01494,NYC,Mediterranean,$$,17.65,24.0,0.3601,1.7,-0.017,1.431,0,72
R01495,LA,Indian,$$$,19.27,25.7,0.3338,2.6,1.013,1.156,0,72
R01496,Chicago,Italian,$$$,21.72,24.89,0.146,2.9,-0.419,0.871,0,72
R01497,LA,American,$$$,19.37,24.45,0.2627,6.2,-0.667,1.059,0,72
R01498,NYC,Vietnamese,$,10.68,13.99,0.3099,2.6,0.529,1.472,0,72
R01499,LA,Mexican,$$,12.28,16.12,0.3122,0.6,-0.328,1.216,0,72
R01500,LA,American,$$,15.14,18.68,0.2332,0.9,0.881,1.095,0,72
R01501,Chicago,Indian,$,11.06,14.6,0.3203,2.2,-0.221,1.01,0,72
R01502,NYC,Chinese,$$,16.94,22.35,0.3191,3.1,-1.115,1.342,0,72
R01503,NYC,Japanese,$$$$,25.16,32.22,0.2808,26.7,1.421,1.696,0,72
R01504,Chicago,American,$$,15.04,18.66,0.2412,28.8,1.237,0.988,0,72
R01505,LA,Indian,$$$,18.34,22.53,0.2286,15.8,-0.955,1.369,0,72
R01506,LA,FastFood,$,7.59,10.21,0.3454,14.1,0.396,0.979,0,72
R01507,LA,Thai,$,10.06,13.51,0.3431,4.3,-0.327,1.247,1,47
R01508,NYC,American,$$$,19.18,25.96,0.3536,1.8,0.619,1.558,0,72
R01509,LA,American,$$,12.71,15.29,0.2026,9.2,-0.876,1.18,0,72
R01510,NYC,American,$$,15.45,18.6,0.2041,18.2,0.872,1.359,0,72
R01511,NYC,American,$$,16.6,21.31,0.2831,5.5,1.195,1.423,0,72
R01512,LA,Mexican,$$,13.4,18.43,0.3755,5.2,-0.947,1.312,0,72
R01513,LA,Vietnamese,$$,13.4,17.79,0.328,2.3,0.068,1.038,0,72
R01514,Chicago,Indian,$$,16.1,20.67,0.284,3.3,1.216,1.088,0,72
R01515,NYC,American,$$,17.66,21.41,0.212,6.5,-1.001,1.506,0,72
R01516,NYC,Mediterranean,$$,14.74,18.6,0.2614,1.0,-0.669,1.405,0,72
R01517,Chicago,Vietnamese,$$,12.13,14.19,0.1702,14.6,0.662,0.974,0,72
R01518,NYC,Italian,$$,13.73,17.06,0.2429,1.1,-0.161,1.461,0,72
R01519,NYC,Mexican,$$,16.56,20.4,0.2318,11.1,-1.575,1.769,1,28
R01520,NYC,Mexican,$,9.71,13.66,0.4066,0.9,-0.32,1.512,0,72
R01521,LA,Italian,$$,16.91,22.12,0.3077,3.0,1.746,1.072,0,72
R01522,Chicago,Japanese,$$,17.35,21.29,0.227,14.9,2.063,0.949,0,72
R01523,LA,Chinese,$,11.4,13.96,0.2244,19.5,-0.637,1.046,0,72
R01524,LA,Chinese,$$,13.03,17.19,0.3188,15.9,-0.913,0.957,0,72
R01525,NYC,Chinese,$,11.82,16.7,0.413,2.1,-0.458,1.261,0,72
R01526,NYC,Thai,$$,17.2,22.94,0.3338,4.3,1.802,1.471,0,72
R01527,LA,Indian,$$,15.1,20.23,0.3392,11.0,0.842,1.398,0,72
R01528,NYC,Italian,$$,16.56,20.3,0.2257,25.8,1.464,1.634,0,72
R01529,NYC,Chinese,$$,12.69,16.2,0.2764,0.6,0.999,1.262,0,72
R01530,NYC,Mexican,$$,15.57,20.81,0.3365,0.5,-1.319,1.318,0,72
R01531,NYC,Mexican,$$,14.72,18.31,0.2437,5.8,-0.949,1.296,0,72
R01532,LA,Japanese,$$,17.92,24.43,0.3632,0.5,-0.696,0.88,0,72
R01533,LA,Mexican,$,11.06,14.67,0.327,8.7,-0.522,1.176,0,72
R01534,NYC,Italian,$$$,19.61,25.36,0.2933,11.7,-0.678,1.597,0,72
R01535,LA,FastFood,$,9.06,11.93,0.3169,4.3,-0.562,1.164,0,72
R01536,LA,American,$$,13.24,15.67,0.1828,3.4,0.64,1.031,0,72
R01537,LA,Thai,$$,16.02,21.81,0.3613,19.3,0.136,1.084,0,72
R01538,Chicago,Mexican,$,10.65,13.14,0.2338,10.8,1.22,0.961,0,72
R01539,NYC,Chinese,$$,16.44,21.99,0.3374,3.2,0.252,1.59,1,56
R01540,Chicago,FastFood,$,9.35,12.46,0.3322,9.0,-0.676,0.978,0,72
R01541,NYC,Italian,$$,14.68,18.41,0.2537,12.9,0.188,1.565,0,72
R01542,NYC,Vietnamese,$,10.46,13.5,0.2908,3.8,-1.511,1.436,1,27
R01543,NYC,FastFood,$,7.7,10.42,0.3525,6.3,-2.312,1.492,0,72
R01544,LA,American,$$,16.47,19.97,0.2125,12.6,0.643,1.072,0,72
R01545,NYC,Italian,$$,17.35,22.39,0.2905,8.9,1.018,1.335,0,72
R01546,NYC,American,$$,13.02,17.04,0.3086,2.2,0.072,1.247,0,72
R01547,LA,Mexican,$,9.73,12.83,0.3189,2.3,-0.391,1.29,0,72
R01548,NYC,Mexican,$$,13.8,18.1,0.3116,8.6,-1.342,1.4,0,72
R01549,NYC,Mexican,$$,13.16,19.02,0.4454,4.8,1.167,0.942,0,72
R01550,NYC,Mediterranean,$$,17.33,21.22,0.2249,10.6,0.493,1.536,1,29
R01551,NYC,Vietnamese,$$,12.07,15.13,0.2528,8.0,0.291,1.63,1,37
R01552,NYC,Italian,$$,16.1,20.06,0.2459,9.6,-0.005,1.315,1,33
R01553,NYC,Chinese,$$,13.44,17.56,0.3071,6.3,-0.47,1.536,0,72
R01554,NYC,Vietnamese,$$$,18.16,25.15,0.3849,12.9,-1.113,1.414,0,72
R01555,LA,FastFood,$,10.5,14.41,0.3723,5.5,0.253,0.931,1,29
R01556,Chicago,Italian,$$,17.09,20.53,0.2015,0.5,-0.539,1.264,0,72
R01557,LA,Italian,$$,16.38,20.56,0.255,2.9,-0.424,1.171,0,72
R01558,LA,Mediterranean,$,10.16,13.15,0.2941,15.4,1.718,1.229,0,72
R01559,Chicago,Mediterranean,$$$,20.61,27.72,0.3452,1.3,-0.048,0.928,0,72
R01560,Chicago,FastFood,$,9.79,12.95,0.3227,10.6,-2.453,0.965,0,72
R01561,LA,Italian,$$,16.32,19.52,0.1959,3.8,-0.535,1.224,0,72
R01562,Chicago,Mexican,$,9.66,12.56,0.2999,1.6,-1.001,0.882,0,72
R01563,Chicago,Japanese,$$,17.87,19.46,0.0891,1.0,-0.139,1.225,0,72
R01564,LA,Italian,$$$,19.5,23.95,0.2284,12.5,-1.424,1.327,0,72
R01565,LA,Mediterranean,$$,16.73,22.16,0.3246,12.0,0.434,1.277,0,72
R01566,NYC,Mexican,$$,14.16,19.4,0.3701,5.0,-0.296,1.426,0,72
R01567,NYC,American,$$,16.25,21.04,0.2949,5.8,-0.476,1.323,0,72
R01568,LA,Mediterranean,$$$,20.23,26.35,0.3025,7.1,0.15,1.358,0,72
R01569,LA,FastFood,$,9.08,12.67,0.3952,10.7,-0.077,1.291,1,55
R01570,NYC,Vietnamese,$$,13.35,18.71,0.4013,3.8,-0.135,1.382,0,72
R01571,LA,FastFood,$,5.84,7.95,0.3624,7.5,-0.224,1.054,0,72
R01572,LA,Mexican,$,10.01,13.05,0.3042,0.9,-0.02,0.993,0,72
R01573,Chicago,Italian,$$,16.86,18.28,0.0843,4.9,0.343,1.003,0,72
R01574,NYC,Mexican,$$,15.18,21.09,0.3889,2.3,0.218,1.407,0,72
R01575,NYC,FastFood,$,11.92,16.52,0.3858,1.8,1.127,1.672,0,72
R01576,LA,Mediterranean,$$,16.5,21.09,0.2776,8.9,-0.547,1.352,0,72
R01577,Chicago,Mexican,$,11.2,14.06,0.2556,2.0,0.238,1.005,0,72
R01578,Chicago,Mexican,$,8.79,11.77,0.3383,4.4,2.446,0.99,0,72
R01579,Chicago,Italian,$$$,21.03,24.96,0.1871,9.4,-0.041,0.871,0,72
R01580,Chicago,Chinese,$,11.77,14.93,0.2683,3.1,-0.002,1.136,0,72
R01581,NYC,Thai,$$$,23.84,31.17,0.3072,1.5,-1.263,1.44,1,31
R01582,NYC,Chinese,$,11.38,15.28,0.3425,0.7,-0.713,1.559,0,72
R01583,NYC,Thai,$$$,20.45,25.62,0.2526,12.2,-0.106,1.67,0,72
R01584,LA,American,$$$,18.31,23.58,0.2881,9.0,0.533,1.121,0,72
R01585,Chicago,Italian,$$,14.96,17.41,0.164,5.5,0.649,0.905,0,72
R01586,NYC,Chinese,$$,13.55,17.43,0.2857,0.7,0.326,1.95,1,24
R01587,LA,FastFood,$,9.77,13.52,0.3843,1.3,0.804,1.289,0,72
R01588,NYC,American,$$,15.36,18.9,0.2302,0.7,-0.999,1.402,1,35
R01589,NYC,Japanese,$$$$,25.58,33.62,0.3142,0.5,0.489,1.683,0,72
R01590,NYC,Italian,$$$,20.85,26.17,0.2551,10.8,0.013,1.397,0,72
R01591,NYC,Mediterranean,$$$,18.93,22.86,0.2076,1.5,0.125,1.508,0,72
R01592,Chicago,Thai,$$,13.96,18.54,0.3282,0.7,-0.362,0.934,1,24
R01593,NYC,Thai,$,11.33,15.02,0.3255,11.8,-0.953,1.447,0,72
R01594,Chicago,American,$$,15.78,19.72,0.2497,2.1,-1.215,0.968,0,72
R01595,LA,Mediterranean,$$,17.55,23.17,0.3204,15.6,0.321,1.096,0,72
R01596,NYC,Italian,$$,12.84,17.01,0.325,8.0,0.498,1.493,1,39
R01597,NYC,Indian,$$,14.95,19.58,0.3101,2.2,-0.13,1.343,0,72
R01598,Chicago,Japanese,$$$,21.62,27.04,0.2509,0.5,-0.015,1.072,0,72
R01599,NYC,American,$$,12.67,16.45,0.2986,1.5,-0.72,1.398,1,40
R01600,Chicago,FastFood,$,8.01,10.35,0.2929,2.6,0.503,0.813,0,72
R01601,NYC,FastFood,$,8.04,10.29,0.2808,1.8,0.061,1.562,0,72
R01602,LA,American,$$$,22.65,28.78,0.2707,0.7,-0.366,1.295,0,72
R01603,Chicago,American,$$,16.65,21.62,0.2989,2.1,0.866,1.311,1,57
R01604,NYC,Mediterranean,$$$,20.49,27.02,0.3192,1.9,0.645,1.453,0,72
R01605,NYC,FastFood,$,8.32,10.87,0.3066,2.1,-1.536,1.482,0,72
R01606,Chicago,Indian,$,10.35,13.5,0.3049,5.9,0.049,1.059,0,72
R01607,NYC,Mexican,$$,14.11,18.69,0.3245,16.7,-0.958,1.639,1,33
R01608,NYC,Italian,$$,15.99,18.31,0.1454,3.4,0.14,1.626,0,72
R01609,NYC,Mediterranean,$$,16.0,21.46,0.3409,0.5,-3.152,1.507,0,72
R01610,NYC,Indian,$,12.0,15.03,0.2527,9.7,0.197,1.444,0,72
R01611,LA,Indian,$$,14.69,20.11,0.369,5.8,0.712,1.328,0,72
R01612,LA,Vietnamese,$$,13.93,19.05,0.3674,1.1,-0.111,1.189,1,40
R01613,NYC,Japanese,$$$$,26.02,32.75,0.2586,6.4,-1.165,1.242,0,72
R01614,Chicago,Japanese,$$$$,29.27,36.38,0.243,7.3,1.956,0.835,0,72
R01615,NYC,Thai,$$$,19.11,27.35,0.4312,0.9,1.156,1.4,1,37
R01616,NYC,Italian,$$,12.45,16.19,0.3,2.4,-0.531,1.471,1,51
R01617,LA,Vietnamese,$,9.28,12.26,0.3219,4.2,-0.261,1.614,0,72
R01618,Chicago,Indian,$,10.47,14.6,0.3945,2.8,-1.981,0.986,0,72
R01619,NYC,Thai,$$,15.69,20.64,0.3159,0.7,0.473,1.458,0,72
R01620,NYC,Italian,$$,15.89,20.32,0.2791,12.8,-1.369,1.381,0,72
R01621,LA,Indian,$$,13.28,16.37,0.2332,1.1,0.666,1.292,0,72
R01622,Chicago,Mexican,$$,12.02,14.5,0.2063,0.5,1.026,1.034,0,72
R01623,NYC,Mexican,$$,13.39,17.75,0.3256,5.0,-0.07,1.343,0,72
R01624,NYC,Japanese,$$,16.84,21.42,0.2719,20.9,-1.064,1.284,0,72
R01625,LA,Mexican,$,9.97,13.32,0.3365,8.2,1.249,1.143,0,72
R01626,NYC,FastFood,$,8.5,10.96,0.289,3.5,0.002,1.31,0,72
R01627,NYC,Mediterranean,$$$,21.09,27.91,0.323,3.5,0.093,1.41,0,72
R01628,NYC,Mexican,$$,12.44,16.16,0.2985,5.9,-0.932,1.475,0,72
R01629,NYC,Thai,$$,12.14,16.27,0.3404,12.0,0.193,1.365,1,29
R01630,LA,American,$,10.87,14.2,0.3067,19.5,-0.203,1.429,0,72
R01631,Chicago,Indian,$$,17.21,21.18,0.2302,0.8,-1.328,1.149,0,72
R01632,LA,Mediterranean,$$,14.89,18.19,0.2218,1.1,1.34,1.167,0,72
R01633,LA,American,$$,13.01,17.4,0.3372,3.6,1.759,1.069,1,44
R01634,Chicago,Mexican,$,9.18,12.24,0.3336,5.1,1.018,0.996,0,72
R01635,NYC,Mexican,$,9.65,13.0,0.3476,8.8,0.869,1.427,0,72
R01636,NYC,American,$$,13.46,18.21,0.3534,4.1,1.765,1.439,0,72
R01637,Chicago,FastFood,$,8.14,10.7,0.3142,6.4,-1.047,0.953,0,72
R01638,NYC,American,$$,12.87,16.08,0.249,12.2,-1.06,1.278,0,72
R01639,LA,Italian,$$$,18.61,21.96,0.1799,10.9,-0.414,1.205,0,72
R01640,LA,Mexican,$,11.96,15.72,0.3146,9.1,0.298,1.151,0,72
R01641,NYC,FastFood,$$,12.68,17.73,0.3986,0.5,-0.293,1.405,0,72
R01642,LA,Italian,$$,13.24,17.21,0.2995,11.9,-1.02,1.214,0,72
R01643,NYC,Indian,$$,14.93,19.42,0.3012,3.6,0.006,1.438,0,72
R01644,NYC,Vietnamese,$,11.87,16.5,0.3907,0.5,-0.094,1.463,1,44
R01645,LA,Chinese,$,10.8,13.92,0.2893,1.0,0.841,1.144,1,31
R01646,NYC,Mexican,$$,12.72,16.54,0.3009,2.3,0.045,1.514,0,72
R01647,LA,Italian,$$$,20.67,24.08,0.1647,2.7,-1.905,1.101,0,72
R01648,Chicago,Italian,$$$,18.32,21.51,0.1747,5.6,0.385,0.878,0,72
R01649,Chicago,Indian,$$$,18.6,22.07,0.1866,31.0,1.582,0.899,0,72
R01650,NYC,Thai,$,9.46,13.34,0.4105,1.5,0.029,1.337,0,72
R01651,NYC,Chinese,$,11.17,14.99,0.342,7.9,0.987,1.242,1,52
R01652,NYC,American,$$$,20.87,26.61,0.2752,8.5,-0.505,1.183,0,72
R01653,NYC,Mexican,$$,14.73,21.01,0.4261,13.9,0.566,1.54,0,72
R01654,Chicago,Chinese,$$,14.33,17.26,0.2049,3.0,-0.745,1.165,0,72
R01655,NYC,Indian,$$$,18.1,23.41,0.2931,6.2,-0.246,1.55,0,72
R01656,NYC,Thai,$,9.92,13.98,0.41,1.6,-0.239,1.368,0,72
R01657,Chicago,Indian,$$,16.73,20.8,0.2428,2.3,0.477,0.814,0,72
R01658,NYC,Chinese,$$,15.75,22.71,0.4423,1.7,-0.824,1.484,0,72
R01659,NYC,American,$$,14.21,18.75,0.3193,8.0,-1.465,1.196,1,40
R01660,NYC,Japanese,$$$$,35.31,47.16,0.3353,14.1,0.47,1.435,0,72
R01661,LA,FastFood,$,8.81,12.39,0.4067,5.0,0.433,1.09,1,41
R01662,LA,Vietnamese,$,7.75,10.15,0.3101,1.1,0.112,0.913,0,72
R01663,NYC,FastFood,$,9.1,12.16,0.3356,9.2,0.933,1.732,0,72
R01664,Chicago,Chinese,$,11.42,14.44,0.2642,8.8,-0.203,0.86,0,72
R01665,Chicago,Japanese,$$$$,27.13,31.76,0.1707,0.6,0.281,0.958,0,72
R01666,Chicago,Indian,$$,16.0,19.95,0.2467,16.7,-0.35,0.985,0,72
R01667,NYC,Italian,$$,16.16,20.2,0.2498,3.6,-0.259,1.37,1,29
R01668,NYC,American,$$$,20.97,28.61,0.3645,0.5,0.34,1.533,0,72
R01669,Chicago,American,$$$,18.95,23.87,0.2597,9.0,2.267,0.915,0,72
R01670,NYC,FastFood,$,7.32,10.82,0.4781,1.2,0.742,1.518,1,26
R01671,LA,Chinese,$$,12.65,15.08,0.192,17.0,0.549,1.247,0,72
R01672,LA,FastFood,$,9.33,11.93,0.2791,1.1,0.773,1.017,0,72
R01673,NYC,Japanese,$$$,20.6,25.8,0.2522,5.3,-2.348,1.492,1,29
R01674,LA,Japanese,$$$,20.71,27.44,0.3246,9.4,0.319,1.057,0,72
R01675,Chicago,American,$$,16.11,19.72,0.2245,0.5,0.91,0.869,0,72
R01676,LA,Chinese,$,10.73,13.16,0.2266,16.6,0.084,1.243,0,72
R01677,NYC,FastFood,$,5.69,7.66,0.3477,10.8,-0.043,1.381,0,72
R01678,Chicago,FastFood,$,8.87,11.09,0.2501,0.5,-0.94,1.046,0,72
R01679,LA,FastFood,$,5.94,7.55,0.2703,17.6,-0.433,1.256,0,72
R01680,LA,FastFood,$,7.11,10.24,0.4399,2.0,-0.833,1.011,1,27
R01681,Chicago,Vietnamese,$,8.36,10.55,0.2624,11.0,1.0,1.093,0,72
R01682,LA,Japanese,$$,16.35,20.58,0.2587,16.1,1.502,1.242,0,72
R01683,NYC,Mediterranean,$$$,18.36,23.59,0.2854,5.5,1.935,1.351,0,72
R01684,NYC,Mexican,$$,12.01,15.94,0.3274,0.5,-0.85,1.427,0,72
R01685,NYC,Thai,$$,13.36,16.94,0.268,13.3,-0.668,1.59,0,72
R01686,LA,American,$$,12.63,15.71,0.2445,24.6,-0.75,1.155,0,72
R01687,LA,Vietnamese,$,10.22,13.56,0.3269,3.3,-1.019,1.547,0,72
R01688,LA,Italian,$$$,19.26,25.06,0.3009,2.8,-1.002,1.435,1,38
R01689,NYC,Italian,$$,17.83,23.13,0.2974,1.2,-0.515,1.47,1,31
R01690,LA,Mexican,$$,14.5,18.25,0.259,9.5,0.874,1.168,0,72
R01691,Chicago,Japanese,$$$$,26.17,33.23,0.2694,5.6,-0.718,0.978,1,14
R01692,NYC,Japanese,$$$,21.02,27.2,0.2938,0.8,1.053,1.349,0,72
R01693,LA,Chinese,$,9.31,11.82,0.2688,1.7,1.367,1.218,0,72
R01694,LA,Chinese,$,11.34,14.85,0.3091,2.2,0.285,1.303,0,72
R01695,LA,American,$$,15.72,20.26,0.2886,0.5,1.229,1.021,1,43
R01696,NYC,Italian,$$,15.65,19.6,0.2524,4.7,-1.361,1.566,1,28
R01697,LA,Thai,$,11.58,15.22,0.314,0.6,-0.558,1.342,0,72
R01698,Chicago,Mexican,$$,12.66,15.78,0.2469,6.4,0.189,1.071,0,72
R01699,LA,American,$$$,24.78,33.69,0.3596,2.5,0.223,1.181,0,72
R01700,Chicago,Chinese,$,11.91,13.97,0.1735,1.6,1.429,1.066,0,72
R01701,Chicago,American,$$,15.99,20.13,0.2589,3.9,-0.999,1.169,0,72
R01702,NYC,American,$$,12.63,16.4,0.2983,0.5,-0.537,1.44,1,58
R01703,LA,Vietnamese,$$,14.38,19.31,0.3421,1.5,-0.085,1.203,0,72
R01704,LA,Japanese,$$$$,25.75,31.28,0.2146,0.9,-0.519,1.55,0,72
R01705,Chicago,American,$$$,18.5,23.83,0.2885,12.5,-1.043,1.038,0,72
R01706,NYC,Chinese,$$,16.61,21.83,0.3146,11.3,-0.477,1.285,1,24
R01707,NYC,Japanese,$$$,20.37,24.66,0.2107,2.6,-0.246,1.61,0,72
R01708,Chicago,Italian,$$,17.05,19.52,0.1453,0.5,1.448,1.049,0,72
R01709,NYC,Vietnamese,$$,15.64,20.9,0.3362,7.7,-1.02,1.34,1,33
R01710,LA,Japanese,$$$,24.65,28.85,0.1702,3.6,0.815,1.051,0,72
R01711,NYC,Indian,$,9.72,13.52,0.39,2.2,1.272,1.492,0,72
R01712,Chicago,Japanese,$$$,23.88,30.38,0.2724,1.2,-0.513,0.993,0,72
R01713,Chicago,Chinese,$,11.71,15.94,0.3613,1.9,0.26,0.861,1,45
R01714,NYC,Italian,$$$,21.16,28.27,0.3361,16.7,0.576,1.435,0,72
R01715,LA,Mexican,$$,13.45,17.52,0.3024,5.8,0.411,1.178,0,72
R01716,NYC,American,$,11.7,14.46,0.2365,4.4,0.082,1.439,0,72
R01717,LA,Thai,$$,14.69,16.99,0.1561,5.1,-0.679,1.273,0,72
R01718,LA,Indian,$$,15.06,18.97,0.2597,0.5,0.662,0.971,0,72
R01719,Chicago,Japanese,$$$,23.49,30.73,0.3083,11.6,-0.374,0.875,0,72
R01720,NYC,Chinese,$$,14.42,18.44,0.2786,3.3,0.029,1.368,0,72
R01721,NYC,Mediterranean,$$$,22.25,28.47,0.2795,9.7,0.176,1.7,0,72
R01722,LA,Mexican,$$,13.47,17.4,0.2923,2.9,0.856,1.594,0,72
R01723,LA,Japanese,$$$,22.09,28.03,0.2687,3.9,1.928,1.201,0,72
R01724,LA,Mediterranean,$$$,20.9,27.89,0.3343,3.9,-0.738,1.207,0,72
R01725,NYC,Japanese,$$$$,32.94,39.3,0.193,0.5,0.053,1.082,0,72
R01726,NYC,Mexican,$$,14.74,18.76,0.2726,2.4,-1.484,1.616,0,72
R01727,Chicago,Chinese,$$,13.49,18.14,0.3443,0.5,1.481,1.055,0,72
R01728,NYC,American,$$,17.3,22.77,0.3167,21.5,0.044,1.5,0,72
R01729,NYC,Chinese,$$,13.61,17.79,0.307,3.5,-0.3,1.249,0,72
R01730,Chicago,Vietnamese,$,11.54,15.75,0.3654,8.6,0.052,1.268,0,72
R01731,NYC,Japanese,$$$$,32.48,39.04,0.2017,7.4,0.103,1.74,0,72
R01732,LA,Italian,$$,15.73,20.08,0.2766,4.3,-0.732,1.243,1,37
R01733,NYC,Chinese,$$,16.0,21.07,0.3166,9.5,1.188,1.633,0,72
R01734,Chicago,Thai,$$,13.69,17.66,0.2903,10.4,0.645,1.006,0,72
R01735,LA,Japanese,$$,16.85,19.06,0.1306,6.0,0.784,1.324,0,72
R01736,Chicago,Indian,$$,14.02,17.34,0.237,0.9,-0.68,0.855,1,31
R01737,NYC,Japanese,$$$,19.94,26.06,0.3068,3.1,-0.734,1.104,0,72
R01738,LA,Mexican,$$,13.87,18.26,0.3168,2.0,-0.114,1.03,1,28
R01739,LA,Japanese,$$$,22.36,29.36,0.3128,19.9,0.8,1.089,0,72
